Date,Building,KWH
2023-06-20,Cafeteria,184
2023-06-21,Cafeteria,271
2023-06-22,Cafeteria,463
2023-06-23,Cafeteria,260
2023-06-24,Cafeteria,404
2023-06-25,Cafeteria,454
2023-06-26,Cafeteria,133
2023-06-27,Cafeteria,420
2023-06-28,Cafeteria,281
2023-06-29,Cafeteria,467
2023-06-30,Cafeteria,124
2023-07-01,Cafeteria,275
2023-07-02,Cafeteria,288
2023-07-03,Cafeteria,377
2023-07-04,Cafeteria,177
2023-07-05,Cafeteria,249
2023-07-06,Cafeteria,202
2023-07-07,Cafeteria,203
2023-07-08,Cafeteria,413
2023-07-09,Cafeteria,400
2023-07-10,Cafeteria,344
2023-07-11,Cafeteria,195
2023-07-12,Cafeteria,243
2023-07-13,Cafeteria,265
2023-07-14,Cafeteria,172
2023-07-15,Cafeteria,205
2023-07-16,Cafeteria,436
2023-07-17,Cafeteria,335
2023-07-18,Cafeteria,368
2023-07-19,Cafeteria,274
2023-07-20,Cafeteria,382
2023-07-21,Cafeteria,253
2023-07-22,Cafeteria,355
2023-07-23,Cafeteria,105
2023-07-24,Cafeteria,145
2023-07-25,Cafeteria,159
2023-07-26,Cafeteria,258
2023-07-27,Cafeteria,186
2023-07-28,Cafeteria,213
2023-07-29,Cafeteria,459
2023-07-30,Cafeteria,226
2023-07-31,Cafeteria,276
2023-08-01,Cafeteria,196
2023-08-02,Cafeteria,494
2023-08-03,Cafeteria,109
2023-08-04,Cafeteria,186
2023-08-05,Cafeteria,215
2023-08-06,Cafeteria,228
2023-08-07,Cafeteria,233
2023-08-08,Cafeteria,219
2023-08-09,Cafeteria,381
2023-08-10,Cafeteria,197
2023-08-11,Cafeteria,185
2023-08-12,Cafeteria,303
2023-08-13,Cafeteria,172
2023-08-14,Cafeteria,420
2023-08-15,Cafeteria,396
2023-08-16,Cafeteria,471
2023-08-17,Cafeteria,254
2023-08-18,Cafeteria,339
2023-08-19,Cafeteria,184
2023-08-20,Cafeteria,261
2023-08-21,Cafeteria,435
2023-08-22,Cafeteria,307
2023-08-23,Cafeteria,289
2023-08-24,Cafeteria,239
2023-08-25,Cafeteria,317
2023-08-26,Cafeteria,239
2023-08-27,Cafeteria,129
2023-08-28,Cafeteria,265
2023-08-29,Cafeteria,134
2023-08-30,Cafeteria,171
2023-08-31,Cafeteria,471
2023-09-01,Cafeteria,440
2023-09-02,Cafeteria,162
2023-09-03,Cafeteria,330
2023-09-04,Cafeteria,202
2023-09-05,Cafeteria,420
2023-09-06,Cafeteria,238
2023-09-07,Cafeteria,457
2023-09-08,Cafeteria,333
2023-09-09,Cafeteria,119
2023-09-10,Cafeteria,495
2023-09-11,Cafeteria,422
2023-09-12,Cafeteria,239
2023-09-13,Cafeteria,384
2023-09-14,Cafeteria,358
2023-09-15,Cafeteria,192
2023-09-16,Cafeteria,124
2023-09-17,Cafeteria,273
2023-09-18,Cafeteria,387
2023-09-19,Cafeteria,452
2023-09-20,Cafeteria,135
2023-09-21,Cafeteria,102
2023-09-22,Cafeteria,215
2023-09-23,Cafeteria,378
2023-09-24,Cafeteria,174
2023-09-25,Cafeteria,435
2023-09-26,Cafeteria,259
2023-09-27,Cafeteria,371
2023-09-28,Cafeteria,314
2023-09-29,Cafeteria,172
2023-09-30,Cafeteria,107
2023-10-01,Cafeteria,114
2023-10-02,Cafeteria,201
2023-10-03,Cafeteria,403
2023-10-04,Cafeteria,404
2023-10-05,Cafeteria,135
2023-10-06,Cafeteria,401
2023-10-07,Cafeteria,495
2023-10-08,Cafeteria,417
2023-10-09,Cafeteria,489
2023-10-10,Cafeteria,495
2023-10-11,Cafeteria,492
2023-10-12,Cafeteria,288
2023-10-13,Cafeteria,396
2023-10-14,Cafeteria,153
2023-10-15,Cafeteria,302
2023-10-16,Cafeteria,429
2023-10-17,Cafeteria,387
2023-10-18,Cafeteria,297
2023-10-19,Cafeteria,165
2023-10-20,Cafeteria,298
2023-10-21,Cafeteria,157
2023-10-22,Cafeteria,185
2023-10-23,Cafeteria,125
2023-10-24,Cafeteria,277
2023-10-25,Cafeteria,269
2023-10-26,Cafeteria,129
2023-10-27,Cafeteria,371
2023-10-28,Cafeteria,151
2023-10-29,Cafeteria,415
2023-10-30,Cafeteria,198
2023-10-31,Cafeteria,303
2023-11-01,Cafeteria,242
2023-11-02,Cafeteria,181
2023-11-03,Cafeteria,167
2023-11-04,Cafeteria,471
2023-11-05,Cafeteria,253
2023-11-06,Cafeteria,452
2023-11-07,Cafeteria,138
2023-11-08,Cafeteria,316
2023-11-09,Cafeteria,410
2023-11-10,Cafeteria,396
2023-11-11,Cafeteria,321
2023-11-12,Cafeteria,370
2023-11-13,Cafeteria,168
2023-11-14,Cafeteria,253
2023-11-15,Cafeteria,247
2023-11-16,Cafeteria,443
2023-11-17,Cafeteria,184
2023-11-18,Cafeteria,216
2023-11-19,Cafeteria,257
2023-11-20,Cafeteria,239
2023-11-21,Cafeteria,348
2023-11-22,Cafeteria,446
2023-11-23,Cafeteria,131
2023-11-24,Cafeteria,446
2023-11-25,Cafeteria,445
2023-11-26,Cafeteria,268
2023-11-27,Cafeteria,488
2023-11-28,Cafeteria,468
2023-11-29,Cafeteria,230
2023-11-30,Cafeteria,489
2023-12-01,Cafeteria,499
2023-12-02,Cafeteria,348
2023-12-03,Cafeteria,419
2023-12-04,Cafeteria,454
2023-12-05,Cafeteria,354
2023-12-06,Cafeteria,415
2023-12-07,Cafeteria,447
2023-12-08,Cafeteria,252
2023-12-09,Cafeteria,462
2023-12-10,Cafeteria,320
2023-12-11,Cafeteria,179
2023-12-12,Cafeteria,219
2023-12-13,Cafeteria,225
2023-12-14,Cafeteria,113
2023-12-15,Cafeteria,152
2023-12-16,Cafeteria,302
2023-12-17,Cafeteria,269
2023-12-18,Cafeteria,299
2023-12-19,Cafeteria,125
2023-12-20,Cafeteria,476
2023-12-21,Cafeteria,365
2023-12-22,Cafeteria,457
2023-12-23,Cafeteria,282
2023-12-24,Cafeteria,311
2023-12-25,Cafeteria,159
2023-12-26,Cafeteria,150
2023-12-27,Cafeteria,344
2023-12-28,Cafeteria,102
2023-12-29,Cafeteria,395
2023-12-30,Cafeteria,286
2023-12-31,Cafeteria,497
