Date,Building,KWH
2023-08-23,Library,459
2023-08-24,Library,217
2023-08-25,Library,146
2023-08-26,Library,234
2023-08-27,Library,409
2023-08-28,Library,366
2023-08-29,Library,435
2023-08-30,Library,412
2023-08-31,Library,446
2023-09-01,Library,339
2023-09-02,Library,349
2023-09-03,Library,218
2023-09-04,Library,252
2023-09-05,Library,360
2023-09-06,Library,173
2023-09-07,Library,271
2023-09-08,Library,128
2023-09-09,Library,480
2023-09-10,Library,136
2023-09-11,Library,159
2023-09-12,Library,184
2023-09-13,Library,270
2023-09-14,Library,460
2023-09-15,Library,132
2023-09-16,Library,105
2023-09-17,Library,220
2023-09-18,Library,230
2023-09-19,Library,443
2023-09-20,Library,476
2023-09-21,Library,130
2023-09-22,Library,247
2023-09-23,Library,426
2023-09-24,Library,238
2023-09-25,Library,248
2023-09-26,Library,116
2023-09-27,Library,307
2023-09-28,Library,254
2023-09-29,Library,487
2023-09-30,Library,413
2023-10-01,Library,468
2023-10-02,Library,223
2023-10-03,Library,330
2023-10-04,Library,110
2023-10-05,Library,486
2023-10-06,Library,108
2023-10-07,Library,408
2023-10-08,Library,467
2023-10-09,Library,111
2023-10-10,Library,179
2023-10-11,Library,161
2023-10-12,Library,475
2023-10-13,Library,198
2023-10-14,Library,483
2023-10-15,Library,360
2023-10-16,Library,487
2023-10-17,Library,161
2023-10-18,Library,325
2023-10-19,Library,423
2023-10-20,Library,170
2023-10-21,Library,258
2023-10-22,Library,443
2023-10-23,Library,247
2023-10-24,Library,353
2023-10-25,Library,192
2023-10-26,Library,323
2023-10-27,Library,292
2023-10-28,Library,137
2023-10-29,Library,318
2023-10-30,Library,146
2023-10-31,Library,193
2023-11-01,Library,198
2023-11-02,Library,329
2023-11-03,Library,274
2023-11-04,Library,145
2023-11-05,Library,392
2023-11-06,Library,111
2023-11-07,Library,455
2023-11-08,Library,162
2023-11-09,Library,283
2023-11-10,Library,164
2023-11-11,Library,462
2023-11-12,Library,208
2023-11-13,Library,346
2023-11-14,Library,258
2023-11-15,Library,360
2023-11-16,Library,443
2023-11-17,Library,325
2023-11-18,Library,246
2023-11-19,Library,153
2023-11-20,Library,205
2023-11-21,Library,174
2023-11-22,Library,225
2023-11-23,Library,204
2023-11-24,Library,126
2023-11-25,Library,390
2023-11-26,Library,483
2023-11-27,Library,250
2023-11-28,Library,494
2023-11-29,Library,325
2023-11-30,Library,155
2023-12-01,Library,355
2023-12-02,Library,403
2023-12-03,Library,268
2023-12-04,Library,389
2023-12-05,Library,259
2023-12-06,Library,261
2023-12-07,Library,415
2023-12-08,Library,457
2023-12-09,Library,110
2023-12-10,Library,179
2023-12-11,Library,163
2023-12-12,Library,262
2023-12-13,Library,370
2023-12-14,Library,417
2023-12-15,Library,308
2023-12-16,Library,239
2023-12-17,Library,385
2023-12-18,Library,208
2023-12-19,Library,150
2023-12-20,Library,185
2023-12-21,Library,361
2023-12-22,Library,473
2023-12-23,Library,351
2023-12-24,Library,264
2023-12-25,Library,477
2023-12-26,Library,199
2023-12-27,Library,403
2023-12-28,Library,177
2023-12-29,Library,318
2023-12-30,Library,105
2023-12-31,Library,374
