Date,Building,KWH,Month,DayOfWeek
2023-04-09,Dormitory,329,4,6
2023-04-10,Dormitory,321,4,0
2023-04-11,Dormitory,128,4,1
2023-04-12,Dormitory,185,4,2
2023-04-13,Dormitory,134,4,3
2023-04-14,Dormitory,495,4,4
2023-04-15,Dormitory,347,4,5
2023-04-16,Dormitory,180,4,6
2023-04-17,Dormitory,394,4,0
2023-04-18,Dormitory,277,4,1
2023-04-19,Dormitory,140,4,2
2023-04-20,Dormitory,106,4,3
2023-04-21,Dormitory,175,4,4
2023-04-22,Dormitory,295,4,5
2023-04-23,Dormitory,391,4,6
2023-04-24,Dormitory,437,4,0
2023-04-25,Dormitory,397,4,1
2023-04-26,Dormitory,177,4,2
2023-04-27,Dormitory,151,4,3
2023-04-28,Dormitory,316,4,4
2023-04-29,Dormitory,326,4,5
2023-04-30,Dormitory,358,4,6
2023-05-01,Dormitory,203,5,0
2023-05-02,Dormitory,110,5,1
2023-05-03,Dormitory,297,5,2
2023-05-04,Dormitory,371,5,3
2023-05-05,Dormitory,374,5,4
2023-05-06,Dormitory,322,5,5
2023-05-07,Dormitory,120,5,6
2023-05-08,Dormitory,131,5,0
2023-05-09,Dormitory,351,5,1
2023-05-10,Dormitory,174,5,2
2023-05-11,Dormitory,370,5,3
2023-05-12,Dormitory,271,5,4
2023-05-13,Dormitory,307,5,5
2023-05-14,Dormitory,400,5,6
2023-05-15,Dormitory,403,5,0
2023-05-16,Dormitory,189,5,1
2023-05-17,Dormitory,416,5,2
2023-05-18,Dormitory,359,5,3
2023-05-19,Dormitory,149,5,4
2023-05-20,Dormitory,122,5,5
2023-05-21,Dormitory,464,5,6
2023-05-22,Dormitory,413,5,0
2023-05-23,Dormitory,294,5,1
2023-05-24,Dormitory,123,5,2
2023-05-25,Dormitory,242,5,3
2023-05-26,Dormitory,387,5,4
2023-05-27,Dormitory,164,5,5
2023-05-28,Dormitory,250,5,6
2023-05-29,Dormitory,416,5,0
2023-05-30,Dormitory,486,5,1
2023-05-31,Dormitory,306,5,2
2023-06-01,Dormitory,344,6,3
2023-06-02,Dormitory,491,6,4
2023-06-03,Dormitory,338,6,5
2023-06-04,Dormitory,195,6,6
2023-06-05,Dormitory,324,6,0
2023-06-06,Dormitory,142,6,1
2023-06-07,Dormitory,170,6,2
2023-06-08,Dormitory,239,6,3
2023-06-09,Dormitory,317,6,4
2023-06-10,Dormitory,206,6,5
2023-06-11,Dormitory,233,6,6
2023-06-12,Dormitory,499,6,0
2023-06-13,Dormitory,200,6,1
2023-06-14,Dormitory,247,6,2
2023-06-15,Dormitory,298,6,3
2023-06-16,Dormitory,189,6,4
2023-06-17,Dormitory,288,6,5
2023-06-18,Dormitory,365,6,6
2023-06-19,Dormitory,417,6,0
2023-06-20,Dormitory,170,6,1
2023-06-21,Dormitory,201,6,2
2023-06-22,Dormitory,124,6,3
2023-06-23,Dormitory,400,6,4
2023-06-24,Dormitory,280,6,5
2023-06-25,Dormitory,284,6,6
2023-06-26,Dormitory,291,6,0
2023-06-27,Dormitory,252,6,1
2023-06-28,Dormitory,353,6,2
2023-06-29,Dormitory,187,6,3
2023-06-30,Dormitory,123,6,4
2023-07-01,Dormitory,299,7,5
2023-07-02,Dormitory,118,7,6
2023-07-03,Dormitory,403,7,0
2023-07-04,Dormitory,254,7,1
2023-07-05,Dormitory,329,7,2
2023-07-06,Dormitory,498,7,3
2023-07-07,Dormitory,387,7,4
2023-07-08,Dormitory,240,7,5
2023-07-09,Dormitory,391,7,6
2023-07-10,Dormitory,346,7,0
2023-07-11,Dormitory,245,7,1
2023-07-12,Dormitory,347,7,2
2023-07-13,Dormitory,275,7,3
2023-07-14,Dormitory,446,7,4
2023-07-15,Dormitory,185,7,5
2023-07-16,Dormitory,305,7,6
2023-07-17,Dormitory,111,7,0
2023-07-18,Dormitory,340,7,1
2023-07-19,Dormitory,180,7,2
2023-07-20,Dormitory,478,7,3
2023-07-21,Dormitory,290,7,4
2023-07-22,Dormitory,481,7,5
2023-07-23,Dormitory,318,7,6
2023-07-24,Dormitory,164,7,0
2023-07-25,Dormitory,108,7,1
2023-07-26,Dormitory,363,7,2
2023-07-27,Dormitory,405,7,3
2023-07-28,Dormitory,353,7,4
2023-07-29,Dormitory,452,7,5
2023-07-30,Dormitory,436,7,6
2023-07-31,Dormitory,340,7,0
2023-08-01,Dormitory,261,8,1
2023-08-02,Dormitory,302,8,2
2023-08-03,Dormitory,335,8,3
2023-08-04,Dormitory,113,8,4
2023-08-05,Dormitory,378,8,5
2023-08-06,Dormitory,366,8,6
2023-08-07,Dormitory,470,8,0
2023-08-08,Dormitory,286,8,1
2023-08-09,Dormitory,354,8,2
2023-08-10,Dormitory,322,8,3
2023-08-11,Dormitory,356,8,4
2023-08-12,Dormitory,112,8,5
2023-08-13,Dormitory,322,8,6
2023-08-14,Dormitory,367,8,0
2023-08-15,Dormitory,455,8,1
2023-08-16,Dormitory,141,8,2
2023-08-17,Dormitory,184,8,3
2023-08-18,Dormitory,455,8,4
2023-08-19,Dormitory,498,8,5
2023-08-20,Dormitory,261,8,6
2023-08-21,Dormitory,489,8,0
2023-08-22,Dormitory,368,8,1
2023-08-23,Dormitory,465,8,2
2023-08-24,Dormitory,202,8,3
2023-08-25,Dormitory,286,8,4
2023-08-26,Dormitory,352,8,5
2023-08-27,Dormitory,179,8,6
2023-08-28,Dormitory,228,8,0
2023-08-29,Dormitory,294,8,1
2023-08-30,Dormitory,242,8,2
2023-08-31,Dormitory,421,8,3
2023-09-01,Dormitory,177,9,4
2023-09-02,Dormitory,258,9,5
2023-09-03,Dormitory,184,9,6
2023-09-04,Dormitory,307,9,0
2023-09-05,Dormitory,133,9,1
2023-09-06,Dormitory,217,9,2
2023-09-07,Dormitory,203,9,3
2023-09-08,Dormitory,122,9,4
2023-09-09,Dormitory,216,9,5
2023-09-10,Dormitory,206,9,6
2023-09-11,Dormitory,139,9,0
2023-09-12,Dormitory,209,9,1
2023-09-13,Dormitory,459,9,2
2023-09-14,Dormitory,403,9,3
2023-09-15,Dormitory,278,9,4
2023-09-16,Dormitory,316,9,5
2023-09-17,Dormitory,211,9,6
2023-09-18,Dormitory,170,9,0
2023-09-19,Dormitory,147,9,1
2023-09-20,Dormitory,447,9,2
2023-09-21,Dormitory,414,9,3
2023-09-22,Dormitory,161,9,4
2023-09-23,Dormitory,184,9,5
2023-09-24,Dormitory,464,9,6
2023-09-25,Dormitory,293,9,0
2023-09-26,Dormitory,454,9,1
2023-09-27,Dormitory,259,9,2
2023-09-28,Dormitory,438,9,3
2023-09-29,Dormitory,305,9,4
2023-09-30,Dormitory,499,9,5
2023-10-01,Dormitory,422,10,6
2023-10-02,Dormitory,412,10,0
2023-10-03,Dormitory,455,10,1
2023-10-04,Dormitory,365,10,2
2023-10-05,Dormitory,314,10,3
2023-10-06,Dormitory,175,10,4
2023-10-07,Dormitory,104,10,5
2023-10-08,Dormitory,304,10,6
2023-10-09,Dormitory,212,10,0
2023-10-10,Dormitory,234,10,1
2023-10-11,Dormitory,293,10,2
2023-10-12,Dormitory,364,10,3
2023-10-13,Dormitory,390,10,4
2023-10-14,Dormitory,175,10,5
2023-10-15,Dormitory,239,10,6
2023-10-16,Dormitory,253,10,0
2023-10-17,Dormitory,454,10,1
2023-10-18,Dormitory,211,10,2
2023-10-19,Dormitory,342,10,3
2023-10-20,Dormitory,113,10,4
2023-10-21,Dormitory,117,10,5
2023-10-22,Dormitory,471,10,6
2023-10-23,Dormitory,428,10,0
2023-10-24,Dormitory,263,10,1
2023-10-25,Dormitory,212,10,2
2023-10-26,Dormitory,345,10,3
2023-10-27,Dormitory,395,10,4
2023-10-28,Dormitory,344,10,5
2023-10-29,Dormitory,475,10,6
2023-10-30,Dormitory,331,10,0
2023-10-31,Dormitory,275,10,1
2023-11-01,Dormitory,357,11,2
2023-11-02,Dormitory,401,11,3
2023-11-03,Dormitory,123,11,4
2023-11-04,Dormitory,447,11,5
2023-11-05,Dormitory,233,11,6
2023-11-06,Dormitory,475,11,0
2023-11-07,Dormitory,212,11,1
2023-11-08,Dormitory,128,11,2
2023-11-09,Dormitory,446,11,3
2023-11-10,Dormitory,480,11,4
2023-11-11,Dormitory,192,11,5
2023-11-12,Dormitory,339,11,6
2023-11-13,Dormitory,330,11,0
2023-11-14,Dormitory,222,11,1
2023-11-15,Dormitory,169,11,2
2023-11-16,Dormitory,257,11,3
2023-11-17,Dormitory,191,11,4
2023-11-18,Dormitory,358,11,5
2023-11-19,Dormitory,194,11,6
2023-11-20,Dormitory,106,11,0
2023-11-21,Dormitory,336,11,1
2023-11-22,Dormitory,470,11,2
2023-11-23,Dormitory,124,11,3
2023-11-24,Dormitory,431,11,4
2023-11-25,Dormitory,491,11,5
2023-11-26,Dormitory,311,11,6
2023-11-27,Dormitory,307,11,0
2023-11-28,Dormitory,472,11,1
2023-11-29,Dormitory,189,11,2
2023-11-30,Dormitory,228,11,3
2023-12-01,Dormitory,366,12,4
2023-12-02,Dormitory,402,12,5
2023-12-03,Dormitory,207,12,6
2023-12-04,Dormitory,442,12,0
2023-12-05,Dormitory,166,12,1
2023-12-06,Dormitory,486,12,2
2023-12-07,Dormitory,175,12,3
2023-12-08,Dormitory,152,12,4
2023-12-09,Dormitory,165,12,5
2023-12-10,Dormitory,362,12,6
2023-12-11,Dormitory,371,12,0
2023-12-12,Dormitory,121,12,1
2023-12-13,Dormitory,110,12,2
2023-12-14,Dormitory,459,12,3
2023-12-15,Dormitory,395,12,4
2023-12-16,Dormitory,418,12,5
2023-12-17,Dormitory,275,12,6
2023-12-18,Dormitory,373,12,0
2023-12-19,Dormitory,167,12,1
2023-12-20,Dormitory,155,12,2
2023-12-21,Dormitory,344,12,3
2023-12-22,Dormitory,176,12,4
2023-12-23,Dormitory,152,12,5
2023-12-24,Dormitory,149,12,6
2023-12-25,Dormitory,402,12,0
2023-12-26,Dormitory,168,12,1
2023-12-27,Dormitory,363,12,2
2023-12-28,Dormitory,459,12,3
2023-12-29,Dormitory,297,12,4
2023-12-30,Dormitory,294,12,5
2023-12-31,Dormitory,276,12,6
2023-01-01,Cafeteria,270,1,6
2023-01-02,Cafeteria,277,1,0
2023-01-03,Cafeteria,288,1,1
2023-01-04,Cafeteria,338,1,2
2023-01-05,Cafeteria,497,1,3
2023-01-06,Cafeteria,198,1,4
2023-01-07,Cafeteria,262,1,5
2023-01-08,Cafeteria,101,1,6
2023-01-09,Cafeteria,498,1,0
2023-01-10,Cafeteria,444,1,1
2023-01-11,Cafeteria,451,1,2
2023-01-12,Cafeteria,467,1,3
2023-01-13,Cafeteria,474,1,4
2023-01-14,Cafeteria,331,1,5
2023-01-15,Cafeteria,466,1,6
2023-01-16,Cafeteria,440,1,0
2023-01-17,Cafeteria,112,1,1
2023-01-18,Cafeteria,107,1,2
2023-01-19,Cafeteria,106,1,3
2023-01-20,Cafeteria,402,1,4
2023-01-21,Cafeteria,153,1,5
2023-01-22,Cafeteria,107,1,6
2023-01-23,Cafeteria,336,1,0
2023-01-24,Cafeteria,104,1,1
2023-01-25,Cafeteria,444,1,2
2023-01-26,Cafeteria,310,1,3
2023-01-27,Cafeteria,101,1,4
2023-01-28,Cafeteria,422,1,5
2023-01-29,Cafeteria,204,1,6
2023-01-30,Cafeteria,488,1,0
2023-01-31,Cafeteria,232,1,1
2023-02-01,Cafeteria,380,2,2
2023-02-02,Cafeteria,108,2,3
2023-02-03,Cafeteria,442,2,4
2023-02-04,Cafeteria,395,2,5
2023-02-05,Cafeteria,303,2,6
2023-02-06,Cafeteria,492,2,0
2023-02-07,Cafeteria,447,2,1
2023-02-08,Cafeteria,411,2,2
2023-02-09,Cafeteria,209,2,3
2023-02-10,Cafeteria,112,2,4
2023-02-11,Cafeteria,135,2,5
2023-02-12,Cafeteria,416,2,6
2023-02-13,Cafeteria,204,2,0
2023-02-14,Cafeteria,221,2,1
2023-02-15,Cafeteria,358,2,2
2023-02-16,Cafeteria,381,2,3
2023-02-17,Cafeteria,208,2,4
2023-02-18,Cafeteria,414,2,5
2023-02-19,Cafeteria,247,2,6
2023-02-20,Cafeteria,107,2,0
2023-02-21,Cafeteria,421,2,1
2023-02-22,Cafeteria,286,2,2
2023-02-23,Cafeteria,323,2,3
2023-02-24,Cafeteria,114,2,4
2023-02-25,Cafeteria,166,2,5
2023-02-26,Cafeteria,401,2,6
2023-02-27,Cafeteria,351,2,0
2023-02-28,Cafeteria,211,2,1
2023-03-01,Cafeteria,315,3,2
2023-03-02,Cafeteria,447,3,3
2023-03-03,Cafeteria,264,3,4
2023-03-04,Cafeteria,120,3,5
2023-03-05,Cafeteria,305,3,6
2023-03-06,Cafeteria,134,3,0
2023-03-07,Cafeteria,169,3,1
2023-03-08,Cafeteria,445,3,2
2023-03-09,Cafeteria,428,3,3
2023-03-10,Cafeteria,162,3,4
2023-03-11,Cafeteria,423,3,5
2023-03-12,Cafeteria,433,3,6
2023-03-13,Cafeteria,293,3,0
2023-03-14,Cafeteria,408,3,1
2023-03-15,Cafeteria,211,3,2
2023-03-16,Cafeteria,214,3,3
2023-03-17,Cafeteria,480,3,4
2023-03-18,Cafeteria,436,3,5
2023-03-19,Cafeteria,305,3,6
2023-03-20,Cafeteria,487,3,0
2023-03-21,Cafeteria,218,3,1
2023-03-22,Cafeteria,212,3,2
2023-03-23,Cafeteria,200,3,3
2023-03-24,Cafeteria,118,3,4
2023-03-25,Cafeteria,344,3,5
2023-03-26,Cafeteria,339,3,6
2023-03-27,Cafeteria,338,3,0
2023-03-28,Cafeteria,429,3,1
2023-03-29,Cafeteria,229,3,2
2023-03-30,Cafeteria,399,3,3
2023-03-31,Cafeteria,461,3,4
2023-04-01,Cafeteria,483,4,5
2023-04-02,Cafeteria,411,4,6
2023-04-03,Cafeteria,242,4,0
2023-04-04,Cafeteria,288,4,1
2023-04-05,Cafeteria,215,4,2
2023-04-06,Cafeteria,105,4,3
2023-04-07,Cafeteria,323,4,4
2023-04-08,Cafeteria,424,4,5
2023-04-09,Cafeteria,140,4,6
2023-04-10,Cafeteria,222,4,0
2023-04-11,Cafeteria,270,4,1
2023-04-12,Cafeteria,218,4,2
2023-04-13,Cafeteria,405,4,3
2023-04-14,Cafeteria,124,4,4
2023-04-15,Cafeteria,213,4,5
2023-04-16,Cafeteria,340,4,6
2023-04-17,Cafeteria,486,4,0
2023-04-18,Cafeteria,162,4,1
2023-04-19,Cafeteria,491,4,2
2023-04-20,Cafeteria,162,4,3
2023-04-21,Cafeteria,329,4,4
2023-04-22,Cafeteria,470,4,5
2023-04-23,Cafeteria,441,4,6
2023-04-24,Cafeteria,277,4,0
2023-04-25,Cafeteria,408,4,1
2023-04-26,Cafeteria,468,4,2
2023-04-27,Cafeteria,277,4,3
2023-04-28,Cafeteria,349,4,4
2023-04-29,Cafeteria,284,4,5
2023-04-30,Cafeteria,290,4,6
2023-05-01,Cafeteria,434,5,0
2023-05-02,Cafeteria,142,5,1
2023-05-03,Cafeteria,137,5,2
2023-05-04,Cafeteria,349,5,3
2023-05-05,Cafeteria,353,5,4
2023-05-06,Cafeteria,247,5,5
2023-05-07,Cafeteria,113,5,6
2023-05-08,Cafeteria,145,5,0
2023-05-09,Cafeteria,161,5,1
2023-05-10,Cafeteria,185,5,2
2023-05-11,Cafeteria,388,5,3
2023-05-12,Cafeteria,204,5,4
2023-05-13,Cafeteria,483,5,5
2023-05-14,Cafeteria,471,5,6
2023-05-15,Cafeteria,245,5,0
2023-05-16,Cafeteria,326,5,1
2023-05-17,Cafeteria,199,5,2
2023-05-18,Cafeteria,429,5,3
2023-05-19,Cafeteria,162,5,4
2023-05-20,Cafeteria,365,5,5
2023-05-21,Cafeteria,284,5,6
2023-05-22,Cafeteria,271,5,0
2023-05-23,Cafeteria,370,5,1
2023-05-24,Cafeteria,499,5,2
2023-05-25,Cafeteria,267,5,3
2023-05-26,Cafeteria,195,5,4
2023-05-27,Cafeteria,252,5,5
2023-05-28,Cafeteria,432,5,6
2023-05-29,Cafeteria,207,5,0
2023-05-30,Cafeteria,179,5,1
2023-05-31,Cafeteria,448,5,2
2023-06-01,Cafeteria,313,6,3
2023-06-02,Cafeteria,400,6,4
2023-06-03,Cafeteria,474,6,5
2023-06-04,Cafeteria,129,6,6
2023-06-05,Cafeteria,371,6,0
2023-06-06,Cafeteria,211,6,1
2023-06-07,Cafeteria,360,6,2
2023-06-08,Cafeteria,462,6,3
2023-06-09,Cafeteria,248,6,4
2023-06-10,Cafeteria,375,6,5
2023-06-11,Cafeteria,330,6,6
2023-06-12,Cafeteria,476,6,0
2023-06-13,Cafeteria,448,6,1
2023-06-14,Cafeteria,462,6,2
2023-06-15,Cafeteria,248,6,3
2023-06-16,Cafeteria,483,6,4
2023-06-17,Cafeteria,424,6,5
2023-06-18,Cafeteria,460,6,6
2023-06-19,Cafeteria,427,6,0
2023-06-20,Cafeteria,424,6,1
2023-06-21,Cafeteria,286,6,2
2023-06-22,Cafeteria,107,6,3
2023-06-23,Cafeteria,464,6,4
2023-06-24,Cafeteria,487,6,5
2023-06-25,Cafeteria,470,6,6
2023-06-26,Cafeteria,341,6,0
2023-06-27,Cafeteria,183,6,1
2023-06-28,Cafeteria,361,6,2
2023-06-29,Cafeteria,258,6,3
2023-06-30,Cafeteria,266,6,4
2023-07-01,Cafeteria,264,7,5
2023-07-02,Cafeteria,217,7,6
2023-07-03,Cafeteria,451,7,0
2023-07-04,Cafeteria,473,7,1
2023-07-05,Cafeteria,436,7,2
2023-07-06,Cafeteria,228,7,3
2023-07-07,Cafeteria,438,7,4
2023-07-08,Cafeteria,331,7,5
2023-07-09,Cafeteria,123,7,6
2023-07-10,Cafeteria,332,7,0
2023-07-11,Cafeteria,493,7,1
2023-07-12,Cafeteria,126,7,2
2023-07-13,Cafeteria,216,7,3
2023-07-14,Cafeteria,437,7,4
2023-07-15,Cafeteria,223,7,5
2023-07-16,Cafeteria,109,7,6
2023-07-17,Cafeteria,279,7,0
2023-07-18,Cafeteria,393,7,1
2023-07-19,Cafeteria,331,7,2
2023-07-20,Cafeteria,314,7,3
2023-07-21,Cafeteria,123,7,4
2023-07-22,Cafeteria,278,7,5
2023-07-23,Cafeteria,318,7,6
2023-07-24,Cafeteria,293,7,0
2023-07-25,Cafeteria,137,7,1
2023-07-26,Cafeteria,373,7,2
2023-07-27,Cafeteria,294,7,3
2023-07-28,Cafeteria,234,7,4
2023-07-29,Cafeteria,337,7,5
2023-07-30,Cafeteria,360,7,6
2023-07-31,Cafeteria,299,7,0
2023-08-01,Cafeteria,323,8,1
2023-08-02,Cafeteria,110,8,2
2023-08-03,Cafeteria,359,8,3
2023-08-04,Cafeteria,367,8,4
2023-08-05,Cafeteria,376,8,5
2023-08-06,Cafeteria,128,8,6
2023-08-07,Cafeteria,245,8,0
2023-08-08,Cafeteria,210,8,1
2023-08-09,Cafeteria,132,8,2
2023-08-10,Cafeteria,395,8,3
2023-08-11,Cafeteria,162,8,4
2023-08-12,Cafeteria,110,8,5
2023-08-13,Cafeteria,451,8,6
2023-08-14,Cafeteria,369,8,0
2023-08-15,Cafeteria,165,8,1
2023-08-16,Cafeteria,190,8,2
2023-08-17,Cafeteria,336,8,3
2023-08-18,Cafeteria,291,8,4
2023-08-19,Cafeteria,231,8,5
2023-08-20,Cafeteria,106,8,6
2023-08-21,Cafeteria,219,8,0
2023-08-22,Cafeteria,287,8,1
2023-08-23,Cafeteria,134,8,2
2023-08-24,Cafeteria,363,8,3
2023-08-25,Cafeteria,421,8,4
2023-08-26,Cafeteria,323,8,5
2023-08-27,Cafeteria,109,8,6
2023-08-28,Cafeteria,307,8,0
2023-08-29,Cafeteria,100,8,1
2023-08-30,Cafeteria,471,8,2
2023-08-31,Cafeteria,267,8,3
2023-09-01,Cafeteria,142,9,4
2023-09-02,Cafeteria,460,9,5
2023-09-03,Cafeteria,196,9,6
2023-09-04,Cafeteria,180,9,0
2023-09-05,Cafeteria,272,9,1
2023-09-06,Cafeteria,235,9,2
2023-09-07,Cafeteria,351,9,3
2023-09-08,Cafeteria,319,9,4
2023-09-09,Cafeteria,136,9,5
2023-09-10,Cafeteria,120,9,6
2023-09-11,Cafeteria,307,9,0
2023-09-12,Cafeteria,143,9,1
2023-09-13,Cafeteria,145,9,2
2023-09-14,Cafeteria,365,9,3
2023-09-15,Cafeteria,161,9,4
2023-09-16,Cafeteria,464,9,5
2023-09-17,Cafeteria,399,9,6
2023-09-18,Cafeteria,175,9,0
2023-09-19,Cafeteria,357,9,1
2023-09-20,Cafeteria,212,9,2
2023-09-21,Cafeteria,264,9,3
2023-09-22,Cafeteria,438,9,4
2023-09-23,Cafeteria,154,9,5
2023-09-24,Cafeteria,111,9,6
2023-09-25,Cafeteria,255,9,0
2023-09-26,Cafeteria,241,9,1
2023-09-27,Cafeteria,280,9,2
2023-09-28,Cafeteria,326,9,3
2023-09-29,Cafeteria,146,9,4
2023-09-30,Cafeteria,490,9,5
2023-10-01,Cafeteria,427,10,6
2023-10-02,Cafeteria,420,10,0
2023-10-03,Cafeteria,139,10,1
2023-10-04,Cafeteria,183,10,2
2023-10-05,Cafeteria,361,10,3
2023-10-06,Cafeteria,230,10,4
2023-10-07,Cafeteria,215,10,5
2023-10-08,Cafeteria,321,10,6
2023-10-09,Cafeteria,399,10,0
2023-10-10,Cafeteria,320,10,1
2023-10-11,Cafeteria,202,10,2
2023-10-12,Cafeteria,229,10,3
2023-10-13,Cafeteria,149,10,4
2023-10-14,Cafeteria,357,10,5
2023-10-15,Cafeteria,124,10,6
2023-10-16,Cafeteria,189,10,0
2023-10-17,Cafeteria,104,10,1
2023-10-18,Cafeteria,126,10,2
2023-10-19,Cafeteria,472,10,3
2023-10-20,Cafeteria,466,10,4
2023-10-21,Cafeteria,355,10,5
2023-10-22,Cafeteria,346,10,6
2023-10-23,Cafeteria,127,10,0
2023-10-24,Cafeteria,404,10,1
2023-10-25,Cafeteria,441,10,2
2023-10-26,Cafeteria,494,10,3
2023-10-27,Cafeteria,410,10,4
2023-10-28,Cafeteria,257,10,5
2023-10-29,Cafeteria,264,10,6
2023-10-30,Cafeteria,348,10,0
2023-10-31,Cafeteria,175,10,1
2023-11-01,Cafeteria,288,11,2
2023-11-02,Cafeteria,462,11,3
2023-11-03,Cafeteria,418,11,4
2023-11-04,Cafeteria,433,11,5
2023-11-05,Cafeteria,367,11,6
2023-11-06,Cafeteria,266,11,0
2023-11-07,Cafeteria,269,11,1
2023-11-08,Cafeteria,436,11,2
2023-11-09,Cafeteria,126,11,3
2023-11-10,Cafeteria,233,11,4
2023-11-11,Cafeteria,339,11,5
2023-11-12,Cafeteria,256,11,6
2023-11-13,Cafeteria,379,11,0
2023-11-14,Cafeteria,134,11,1
2023-11-15,Cafeteria,439,11,2
2023-11-16,Cafeteria,364,11,3
2023-11-17,Cafeteria,234,11,4
2023-11-18,Cafeteria,154,11,5
2023-11-19,Cafeteria,291,11,6
2023-11-20,Cafeteria,321,11,0
2023-11-21,Cafeteria,259,11,1
2023-11-22,Cafeteria,489,11,2
2023-11-23,Cafeteria,349,11,3
2023-11-24,Cafeteria,118,11,4
2023-11-25,Cafeteria,455,11,5
2023-11-26,Cafeteria,358,11,6
2023-11-27,Cafeteria,222,11,0
2023-11-28,Cafeteria,102,11,1
2023-11-29,Cafeteria,232,11,2
2023-11-30,Cafeteria,345,11,3
2023-12-01,Cafeteria,470,12,4
2023-12-02,Cafeteria,259,12,5
2023-12-03,Cafeteria,292,12,6
2023-12-04,Cafeteria,201,12,0
2023-12-05,Cafeteria,288,12,1
2023-12-06,Cafeteria,253,12,2
2023-12-07,Cafeteria,378,12,3
2023-12-08,Cafeteria,348,12,4
2023-12-09,Cafeteria,272,12,5
2023-12-10,Cafeteria,457,12,6
2023-12-11,Cafeteria,245,12,0
2023-12-12,Cafeteria,111,12,1
2023-12-13,Cafeteria,278,12,2
2023-12-14,Cafeteria,300,12,3
2023-12-15,Cafeteria,304,12,4
2023-12-16,Cafeteria,427,12,5
2023-12-17,Cafeteria,437,12,6
